WI06 TVD02 TVD06 TVD03 PT1000_1 "Master clock"
1067 53.5 26.25 72.375 56.25 2054.71
1069 53.5625 26.25 72.4375 56.0 2059.77
1072 53.625 26.3125 72.5625 55.8125 2064.81
1075 53.625 26.3125 72.6875 55.625 2069.86
1077 53.6875 26.375 72.9375 55.75 2074.91
1080 53.6875 26.375 73.1875 55.875 2079.96
1083 53.75 26.375 73.375 55.875 2085.0
1085 53.75 26.375 73.3125 55.75 2090.14
1088 53.8125 26.4375 73.3125 55.6875 2095.19
1090 53.875 26.4375 73.375 55.8125 2100.24
1093 53.875 26.4375 73.375 56.1875 2105.28
1096 53.9375 26.5 73.375 56.3125 2110.4
1098 54.0625 26.5 73.25 56.25 2115.4
1101 54.0625 26.5625 73.3125 56.125 2120.42
1103 54.125 26.5625 73.5 56.25 2125.47
1106 54.125 26.5625 73.625 56.5 2130.51
1109 54.1875 26.5625 73.5625 56.5 2135.57
1111 54.25 26.625 73.5625 56.4375 2140.61
1114 54.3125 26.625 73.625 56.8125 2145.66
1116 54.4375 26.625 73.75 57.375 2150.71
1119 54.5 26.6875 73.875 57.4375 2155.76
1122 54.5625 26.6875 73.75 57.3125 2160.81
1124 54.625 26.6875 73.75 57.0625 2165.86
1127 54.6875 26.75 73.8125 57.0 2170.91
1130 54.75 26.75 74.0625 57.3125 2175.96
1132 54.8125 26.75 74.1875 57.125 2181.01
1135 54.875 26.8125 74.375 57.0625 2186.06
1137 54.875 26.8125 74.375 57.1875 2191.1
1143 55.0 26.875 74.3125 57.5625 2196.34
1145 55.125 26.875 74.1875 57.5 2201.34
1148 55.1875 26.875 74.25 57.5 2206.34
1150 55.25 26.9375 74.5625 57.5 2211.34
1153 55.25 26.9375 74.6875 57.5625 2216.35
1156 55.3125 26.9375 74.6875 57.75 2221.4
1158 55.375 27.0 74.9375 57.5625 2226.44
1161 55.375 27.0 74.875 57.4375 2231.49
1163 55.375 27.0625 74.75 57.3125 2236.63
1166 55.375 27.0625 74.9375 57.375 2241.68
1169 55.4375 27.125 75.25 57.5625 2246.72
1171 55.375 27.125 75.25 57.6875 2251.76
1174 55.4375 27.125 75.125 57.75 2256.81
1176 55.4375 27.1875 75.0 57.5625 2261.86
1179 55.5 27.1875 74.9375 57.5625 2266.9
1182 55.5625 27.1875 75.1875 57.75 2271.95
1184 55.5625 27.1875 75.0625 57.6875 2277.0
1187 55.625 27.25 75.0 57.5625 2282.04
1190 55.75 27.25 75.25 58.0 2287.1
1192 55.8125 27.25 75.375 58.4375 2292.14
1195 55.9375 27.3125 75.375 58.625 2297.19
1197 55.9375 27.3125 75.3125 58.6875 2302.23
1200 56.0625 27.375 75.3125 59.0625 2307.28
1203 56.1875 27.375 75.5 59.1875 2312.34
1205 56.25 27.375 75.6875 59.0 2317.39
1208 56.3125 27.4375 75.5625 59.125 2322.44
1210 56.3125 27.4375 75.5625 59.0625 2327.49
1213 56.375 27.4375 75.625 59.0625 2332.54
1216 56.4375 27.4375 75.75 58.9375 2337.59
1218 56.5 27.5 75.8125 59.0 2342.66
1221 56.5625 27.5 75.875 58.875 2347.71
1223 56.625 27.5625 75.9375 58.75 2352.75
1226 56.625 27.5625 75.9375 58.75 2357.8
1229 56.6875 27.5625 76.3125 58.625 2362.85
1231 56.75 27.5625 76.4375 58.75 2367.89
1234 56.75 27.625 76.1875 58.625 2372.95
1237 56.8125 27.625 76.25 58.625 2378.0
1239 56.875 27.625 76.3125 58.625 2383.05
1242 56.9375 27.6875 76.6875 58.875 2388.09
1244 57.0 27.6875 76.9375 59.0625 2393.14
1247 57.0 27.75 76.6875 58.875 2398.19
1250 57.0625 27.75 76.5625 58.9375 2403.23
1252 57.125 27.75 76.6875 59.0625 2408.28
1255 57.1875 27.8125 76.8125 59.0625 2413.31
1257 57.1875 27.8125 76.8125 59.1875 2418.36
1260 57.25 27.8125 76.875 59.0625 2423.4
1263 57.3125 27.875 76.75 59.1875 2428.45
1265 57.375 27.875 76.9375 59.375 2433.5
1268 57.4375 27.875 77.25 59.6875 2438.54
1271 57.5 27.9375 77.1875 59.6875 2443.59
1273 57.5 27.9375 77.125 59.5 2448.64
1276 57.5625 27.9375 77.4375 59.375 2453.68
1278 57.625 28.0 77.5 59.875 2458.73
1281 57.6875 28.0 77.375 60.0625 2463.78
1284 57.75 28.0 77.3125 60.125 2468.84
1286 57.8125 28.0 77.375 60.125 2473.89
1289 57.8125 28.0625 77.6875 60.125 2478.93
1291 57.8125 28.125 77.6875 60.0625 2483.97
1294 57.8125 28.125 77.6875 60.0625 2489.02
1297 57.875 28.125 77.9375 60.0 2494.07
1299 57.9375 28.1875 78.125 60.3125 2499.11
1302 58.0 28.1875 78.0625 60.4375 2504.16
1305 58.0625 28.1875 77.8125 60.375 2509.21
1307 58.0625 28.25 77.75 60.375 2514.26
1310 58.0625 28.25 77.8125 60.25 2519.3
1312 58.125 28.25 77.875 60.0625 2524.35
1315 58.1875 28.3125 77.9375 60.0 2529.4
1318 58.1875 28.3125 78.1875 60.3125 2534.45
1320 58.3125 28.3125 78.375 60.875 2539.5
1323 58.375 28.3125 78.5 60.8125 2544.54
1325 58.4375 28.375 78.375 60.875 2549.59
1328 58.5625 28.375 78.4375 61.1875 2554.64
1331 58.625 28.4375 78.5 61.3125 2559.68
1333 58.6875 28.4375 78.5625 61.4375 2564.73
1336 58.8125 28.5 78.5625 61.875 2569.77
1338 58.875 28.5 78.5625 61.8125 2574.82
1341 58.9375 28.5 78.4375 61.8125 2579.87
1344 59.0 28.5 78.5625 61.75 2584.92
1346 59.0 28.5625 78.6875 61.6875 2589.97
1349 59.0625 28.5625 78.6875 61.5625 2595.02
1352 59.0625 28.5625 78.625 61.3125 2600.06
1354 59.125 28.625 78.6875 61.25 2605.11
1357 59.1875 28.625 78.6875 61.0625 2610.15
1359 59.1875 28.625 78.8125 60.9375 2615.19
1362 59.25 28.6875 79.0625 61.0625 2620.24
1365 59.25 28.6875 79.1875 61.0 2625.29
1367 59.375 28.75 79.25 61.4375 2630.4
1370 59.375 28.75 79.5 61.625 2635.4
1373 59.4375 28.75 79.4375 61.75 2640.44
1375 59.4375 28.75 79.5 61.6875 2645.49
1378 59.5 28.8125 79.25 61.6875 2650.54
1380 59.5 28.8125 79.1875 61.5625 2655.59
1383 59.5625 28.8125 79.5625 61.875 2660.63
1386 59.625 28.875 79.875 62.0 2665.67
1388 59.625 28.875 79.75 61.875 2670.73
1391 59.6875 28.9375 79.6875 61.8125 2675.77
1393 59.6875 28.875 79.5625 61.875 2680.81
1396 59.75 28.9375 79.5625 62.0625 2685.86
1399 59.8125 28.9375 79.5 62.25 2690.91
1401 59.875 28.9375 79.5625 62.5 2695.96
1404 59.9375 29.0 79.625 62.625 2701.01
1407 60.0 29.0625 79.625 62.5 2706.05
1409 60.0625 29.0625 79.5625 62.6875 2711.1
1414 60.1875 29.0625 79.875 62.5 2716.34
1417 60.25 29.125 80.0625 62.375 2721.34
1420 60.25 29.125 80.0 62.4375 2726.34
1422 60.3125 29.125 80.0625 62.6875 2731.34
1425 60.375 29.1875 80.375 62.6875 2736.35
1427 60.4375 29.1875 80.3125 62.625 2741.39
1430 60.4375 29.25 80.25 62.5625 2746.44
1433 60.4375 29.25 80.3125 62.5 2751.48
1435 60.5 29.25 80.5 62.3125 2756.54
1438 60.5625 29.25 80.75 62.3125 2761.58
1441 60.625 29.3125 80.75 62.375 2766.63
1443 60.625 29.3125 80.5625 62.1875 2771.67
1446 60.625 29.3125 80.5 62.1875 2776.72
1448 60.6875 29.375 80.625 62.25 2781.77
1451 60.75 29.375 80.6875 62.5625 2786.81
1454 60.8125 29.375 80.5625 62.375 2791.86
1456 60.8125 29.4375 80.625 62.4375 2796.91
1459 60.8125 29.4375 80.75 62.375 2801.96
1461 60.8125 29.4375 80.75 62.1875 2807.0
1464 60.8125 29.5 81.25 62.1875 2812.04
1467 60.875 29.5 81.5625 62.5 2817.09
1469 60.875 29.5625 81.6875 62.5625 2822.14
1472 60.875 29.5625 81.5625 62.4375 2827.19
1475 60.9375 29.5625 81.5 62.375 2832.24
1477 60.9375 29.625 81.3125 62.625 2837.29
1480 61.0 29.625 81.375 62.875 2842.34
1482 61.0625 29.625 81.4375 63.0 2847.38
1485 61.125 29.625 81.625 63.3125 2852.43
1488 61.25 29.6875 81.625 63.3125 2857.48
