WI06 TVD02 TVD06 PT1000_1 "Master clock"
1227 55.25 44.25 57.0625 2374.58
1230 55.3125 44.3125 57.125 2379.6
1232 55.3125 44.375 57.125 2384.65
1235 55.375 44.4375 57.0625 2389.69
1238 55.4375 44.5 57.0 2394.73
1240 55.4375 44.5625 56.9375 2399.78
1243 55.5 44.5625 57.0625 2404.82
1245 55.5625 44.625 57.0625 2409.86
1248 55.5625 44.6875 57.125 2414.89
1251 55.625 44.75 57.125 2419.92
1253 55.625 44.75 57.3125 2424.96
1256 55.6875 44.875 57.375 2430.01
1259 55.75 44.9375 57.375 2435.04
1261 55.75 44.9375 57.375 2440.08
1264 55.8125 45.0 57.375 2445.12
1266 55.875 45.0625 57.3125 2450.16
1269 55.875 45.0625 57.375 2455.2
1272 55.875 45.125 57.4375 2460.25
1274 55.9375 45.1875 57.5625 2465.29
1277 56.0 45.25 57.6875 2470.34
1280 56.0625 45.25 57.8125 2475.38
1282 56.125 45.3125 57.8125 2480.41
1285 56.125 45.375 57.8125 2485.45
1287 56.1875 45.4375 57.875 2490.49
1290 56.25 45.4375 58.0625 2495.53
1293 56.3125 45.5 58.125 2500.57
1295 56.375 45.5 58.3125 2505.62
1298 56.4375 45.5625 58.375 2510.67
1300 56.5 45.5625 58.5 2515.71
1303 56.5 45.625 58.5 2520.75
1306 56.5625 45.6875 58.5625 2525.8
1308 56.625 45.6875 58.625 2530.84
1311 56.6875 45.75 58.625 2535.88
1313 56.75 45.8125 58.6875 2540.92
1316 56.8125 45.875 58.6875 2545.97
1319 56.8125 45.9375 58.625 2550.99
1321 56.875 45.9375 58.6875 2556.05
1324 56.9375 46.0 58.625 2561.11
1327 56.9375 46.0625 58.5625 2566.17
1329 57.0 46.125 58.5625 2571.72
1332 57.0625 46.125 58.5 2576.77
1334 57.0625 46.1875 58.5625 2581.82
1337 57.125 46.25 58.75 2586.84
1340 57.1875 46.3125 58.8125 2591.89
1342 57.1875 46.3125 58.9375 2596.94
1345 57.3125 46.375 58.875 2601.97
1350 57.375 46.4375 59.0 2607.22
1353 57.4375 46.5 59.0 2612.22
1355 57.4375 46.5625 59.125 2617.22
1358 57.5 46.5625 59.0625 2622.22
1361 57.5625 46.625 59.1875 2627.22
1363 57.625 46.625 59.25 2632.25
1366 57.6875 46.6875 59.375 2637.29
1368 57.75 46.75 59.3125 2642.33
1371 57.75 46.8125 59.25 2647.37
1374 57.8125 46.875 59.3125 2652.41
1376 57.8125 46.875 59.5 2657.46
1379 57.875 46.9375 59.6875 2662.5
1382 57.9375 46.9375 59.625 2667.55
1384 58.0 47.0 59.625 2672.59
1387 58.0 47.0625 59.6875 2677.64
1390 58.0625 47.0625 59.8125 2682.68
1392 58.125 47.125 59.9375 2687.75
1395 58.125 47.1875 60.0 2692.8
1397 58.1875 47.25 60.0625 2697.86
1400 58.25 47.25 60.125 2702.91
1403 58.3125 47.3125 60.25 2707.97
1405 58.375 47.375 60.3125 2713.02
1408 58.375 47.375 60.375 2718.06
1410 58.4375 47.4375 60.5 2723.11
1413 58.5625 47.4375 60.5625 2728.13
1416 58.5625 47.5625 60.4375 2733.18
1418 58.625 47.5625 60.5 2738.23
1421 58.6875 47.5625 60.5625 2743.27
1423 58.75 47.625 60.5625 2748.3
1426 58.8125 47.6875 60.6875 2753.35
1429 58.875 47.75 60.875 2758.39
1431 58.9375 47.75 61.0 2763.43
1434 59.0 47.8125 61.0 2768.48
1436 59.0625 47.875 61.0625 2773.53
1439 59.0625 47.875 61.0625 2778.58
1442 59.125 47.9375 61.0625 2783.63
1444 59.1875 48.0 61.0 2788.68
1447 59.1875 48.0 61.0 2793.72
1449 59.25 48.0625 60.9375 2798.76
1452 59.25 48.0625 60.9375 2803.8
1455 59.3125 48.1875 61.0 2808.84
1457 59.3125 48.1875 60.9375 2813.87
1460 59.375 48.25 61.0 2818.91
1463 59.4375 48.25 61.1875 2823.95
1465 59.5 48.3125 61.3125 2829.0
1468 59.5 48.375 61.3125 2834.06
1470 59.5625 48.4375 61.375 2839.12
1473 59.625 48.4375 61.5 2844.29
1476 59.625 48.5 61.5 2849.33
1478 59.6875 48.5 61.5 2854.36
1481 59.75 48.5625 61.5625 2859.41
1484 59.8125 48.625 61.5 2864.45
1486 59.875 48.6875 61.5 2869.49
1489 59.9375 48.6875 61.5 2874.53
1491 59.9375 48.75 61.4375 2879.56
1494 60.0 48.8125 61.4375 2884.61
1497 60.0 48.8125 61.5 2889.66
1499 60.0625 48.875 61.5 2894.7
1502 60.125 48.9375 61.4375 2899.73
1504 60.125 49.0 61.5 2904.79
1507 60.1875 49.0625 61.5625 2909.83
1510 60.1875 49.125 61.5625 2914.88
1512 60.25 49.125 61.75 2919.93
1515 60.3125 49.1875 61.875 2924.98
1518 60.3125 49.1875 61.9375 2930.02
1520 60.3125 49.25 62.0625 2935.06
1523 60.375 49.3125 62.125 2940.09
1525 60.375 49.3125 62.125 2945.14
1528 60.4375 49.375 62.25 2950.18
1531 60.5 49.375 62.375 2955.35
1533 60.5 49.4375 62.625 2960.39
1536 60.625 49.5 62.5625 2965.45
1538 60.6875 49.5 62.625 2970.51
1541 60.75 49.5625 62.6875 2975.58
1544 60.75 49.625 62.75 2980.63
1546 60.8125 49.625 62.75 2985.68
1549 60.8125 49.6875 62.8125 2990.72
1551 60.875 49.75 62.8125 2995.77
1554 60.875 49.75 62.75 3000.8
1557 60.9375 49.8125 62.75 3005.85
1559 60.9375 49.875 62.75 3010.89
1562 61.0 49.875 62.8125 3015.93
1564 61.0 49.9375 62.875 3020.98
1567 61.0625 50.0 62.875 3026.03
1570 61.125 50.0 62.9375 3031.08
1572 61.1875 50.0625 63.0 3036.12
1575 61.1875 50.125 62.9375 3041.18
1578 61.25 50.1875 62.9375 3046.27
1580 61.3125 50.1875 63.1875 3051.27
1583 61.375 50.25 63.25 3056.31
1585 61.375 50.3125 63.1875 3061.34
1588 61.375 50.3125 63.25 3066.39
1591 61.4375 50.375 63.3125 3071.44
1593 61.5 50.4375 63.5 3076.48
1596 61.5625 50.5 63.5 3081.51
1598 61.625 50.5 63.5 3086.56
1601 61.6875 50.5625 63.625 3091.61
1604 61.75 50.625 63.5625 3096.65
1606 61.75 50.6875 63.625 3101.68
1609 61.8125 50.6875 63.5625 3106.73
1612 61.875 50.75 63.5625 3111.79
1614 61.875 50.75 63.625 3116.86
1617 61.9375 50.8125 63.75 3121.91
1619 62.0 50.875 63.8125 3126.96
1625 62.0625 50.9375 64.0 3132.22
1627 62.125 51.0 64.0 3137.22
1630 62.125 51.0 63.9375 3142.22
1633 62.1875 51.0625 63.875 3147.22
1635 62.1875 51.125 63.9375 3152.23
1638 62.25 51.125 64.0 3157.28
1640 62.25 51.1875 64.0625 3162.32
1643 62.3125 51.25 64.0625 3167.37
1646 62.375 51.25 64.3125 3172.41
1648 62.4375 51.3125 64.5625 3177.45
1651 62.5 51.375 64.5625 3182.5
1654 62.5625 51.375 64.625 3187.54
1656 62.625 51.4375 64.625 3192.59
1659 62.6875 51.5 64.75 3197.63
1661 62.75 51.5625 64.6875 3202.68
1664 62.8125 51.5625 64.6875 3207.7
1667 62.8125 51.625 64.75 3212.76
1669 62.875 51.625 64.75 3217.8
1672 62.9375 51.6875 64.75 3222.85
1675 62.9375 51.8125 64.75 3227.87
1677 63.0 51.8125 64.75 3232.92
1680 63.0 51.8125 64.75 3237.97
1682 63.0625 51.9375 64.75 3243.01
1685 63.125 51.9375 64.8125 3248.04
1688 63.125 52.0 64.875 3253.09
1690 63.1875 52.0625 64.9375 3258.13
1693 63.25 52.0625 65.125 3263.18
1696 63.25 52.125 65.25 3268.21
1698 63.3125 52.1875 65.1875 3273.26
1701 63.375 52.25 65.125 3278.3
1703 63.4375 52.3125 65.0625 3283.35
1706 63.4375 52.3125 65.1875 3288.37
1709 63.5 52.375 65.1875 3293.41
1711 63.5 52.4375 65.1875 3298.45
1714 63.5625 52.4375 65.375 3303.49
1717 63.625 52.5 65.5 3308.54
1719 63.6875 52.5625 65.5625 3313.57
1722 63.6875 52.5625 65.5 3318.62
1724 63.75 52.625 65.4375 3323.66
1727 63.75 52.625 65.4375 3328.7
1730 63.8125 52.6875 65.5 3333.74
1732 63.875 52.75 65.5625 3338.78
1735 63.875 52.8125 65.875 3343.82
1738 63.9375 52.8125 65.9375 3348.87
1740 64.0 52.875 66.125 3353.89
1743 64.0625 52.875 66.0625 3358.96
1745 64.125 52.9375 66.125 3364.2
1748 64.1875 52.9375 66.125 3369.25
1751 64.1875 53.0 66.125 3374.31
1753 64.25 53.0 66.0625 3379.38
1756 64.25 53.0625 66.0 3384.44
1758 64.3125 53.125 65.9375 3389.5
1761 64.3125 53.125 66.0 3394.56
