WI06 WI05 TVD02 TVD01 TVD05 TVD12 TVD06 TVD07 TVD04 TVD03 PT1000 TVK01 TVK02 TVK03 TVK04 "Master clock"
118 63 21.2125 21.6875 21.8125 22.625 21.8375 22.0 21.1875 23.3125 114.875 24.0 72.5 24.5 126.75 586.32
119 64 21.2125 21.6875 21.8125 22.6875 21.9 22.0625 21.25 23.3125 115.4375 23.75 73.25 24.5 126.75 591.33
120 64 21.2125 21.6875 21.8125 22.6875 21.9 22.0625 21.25 23.375 115.9375 24.25 73.75 24.75 127.75 596.33
121 65 21.2125 21.6875 21.8125 22.75 21.9 22.0625 21.1875 23.4375 116.5 23.75 73.75 24.5 128.25 601.33
122 66 21.275 21.6875 21.8125 22.75 21.9 22.0625 21.25 23.4375 117.0625 24.0 74.0 24.0 128.5 606.34
123 66 21.275 21.6875 21.875 22.75 21.9 22.0625 21.1875 23.4375 117.625 24.0 74.5 24.0 129.5 611.34
124 67 21.275 21.6875 21.8125 22.8125 21.9 22.125 21.25 23.5 118.125 24.25 75.25 23.75 129.75 616.34
125 67 21.275 21.75 21.8125 22.8125 21.9625 22.125 21.25 23.5625 118.6875 23.75 75.0 24.25 130.0 621.35
126 68 21.275 21.75 21.875 22.8125 21.9625 22.125 21.25 23.5625 119.1875 24.0 75.75 23.75 131.25 626.35
127 68 21.275 21.75 21.875 22.875 21.9625 22.125 21.25 23.625 119.75 23.75 76.25 24.25 131.5 631.35
128 69 21.275 21.75 21.875 22.875 21.9625 22.1875 21.25 23.625 120.25 24.0 76.5 24.0 132.25 636.35
129 69 21.275 21.75 21.875 22.875 21.9625 22.1875 21.25 23.6875 120.8125 24.0 77.0 23.75 133.0 641.36
130 70 21.275 21.75 21.875 22.9375 22.025 22.1875 21.25 23.75 121.3125 23.75 77.5 24.25 133.0 646.36
131 70 21.275 21.75 21.875 22.9375 22.025 22.1875 21.25 23.75 121.8125 24.0 77.75 24.5 133.75 651.36
132 71 21.275 21.75 21.9375 23.0 22.025 22.25 21.25 23.8125 122.3125 23.75 77.5 24.5 134.0 656.36
133 71 21.3375 21.8125 21.9375 23.0 22.0875 22.25 21.3125 23.8125 122.8125 23.75 77.5 24.25 134.75 661.37
134 72 21.3375 21.75 21.9375 23.0 22.0875 22.25 21.3125 23.9375 123.3125 24.25 78.25 24.5 135.25 666.37
135 72 21.3375 21.8125 21.9375 23.0 22.0875 22.25 21.25 23.9375 123.8125 24.25 78.25 24.25 135.75 671.37
135 73 21.3375 21.8125 21.9375 23.0625 22.0875 22.3125 21.25 23.9375 124.3125 24.0 78.75 24.25 136.0 676.38
136 73 21.3375 21.8125 21.9375 23.0625 22.0875 22.3125 21.3125 24.0 124.875 24.25 79.25 24.0 136.25 681.38
137 74 21.3375 21.8125 21.9375 23.125 22.15 22.3125 21.3125 24.0 125.3125 24.25 79.75 24.5 137.0 686.38
138 74 21.3375 21.8125 21.9375 23.125 22.15 22.375 21.3125 24.0625 125.8125 24.5 80.0 24.0 137.5 691.39
139 75 21.3375 21.8125 22.0 23.125 22.15 22.375 21.3125 24.0625 126.25 24.0 80.25 24.5 138.25 696.39
140 75 21.3375 21.8125 22.0 23.1875 22.15 22.375 21.3125 24.125 126.75 24.0 81.0 24.0 138.75 701.39
141 76 21.4 21.875 22.0 23.1875 22.15 22.4375 21.3125 24.125 127.25 24.0 81.5 23.75 139.0 706.39
142 76 21.3375 21.875 22.0 23.1875 22.15 22.4375 21.3125 24.1875 127.6875 24.25 81.25 24.0 139.75 711.4
143 77 21.4 21.875 22.0 23.25 22.2125 22.4375 21.3125 24.25 128.1875 24.25 81.0 24.0 140.0 716.4
144 77 21.4 21.875 22.0 23.25 22.2125 22.4375 21.3125 24.25 128.625 24.5 82.0 24.25 140.5 721.4
145 78 21.4 21.875 22.0 23.25 22.2125 22.5 21.3125 24.3125 129.0625 24.5 81.75 24.25 140.5 726.41
146 78 21.4 21.875 22.0625 23.25 22.2125 22.5 21.3125 24.375 129.5 23.5 82.75 24.5 141.25 731.41
147 79 21.4 21.875 22.0625 23.3125 22.275 22.5 21.3125 24.375 130.0 24.25 82.75 24.0 142.0 736.41
148 79 21.4 21.875 22.0625 23.3125 22.275 22.5 21.3125 24.4375 130.4375 24.25 83.0 24.5 142.25 741.42
149 80 21.4 21.875 22.0625 23.3125 22.275 22.5625 21.3125 24.5 130.875 24.25 83.0 24.75 142.75 746.42
150 80 21.4 21.875 22.0625 23.375 22.275 22.5625 21.375 24.5 131.3125 24.25 83.5 24.5 143.25 751.42
151 81 21.4 21.9375 22.0625 23.375 22.275 22.5625 21.3125 24.5625 131.75 24.0 83.5 24.25 143.75 756.42
152 82 21.4625 21.9375 22.0625 23.375 22.3375 22.625 21.375 24.5625 132.1875 24.5 84.0 24.0 144.0 761.43
153 82 21.4625 21.9375 22.0625 23.4375 22.3375 22.625 21.375 24.625 132.6875 24.5 85.0 24.5 144.25 766.43
153 83 21.4625 21.9375 22.125 23.4375 22.3375 22.625 21.375 24.6875 133.0625 24.75 85.0 24.0 145.0 771.43
154 83 21.4625 21.9375 22.125 23.5 22.3375 22.625 21.375 24.6875 133.5 24.25 85.25 24.25 145.5 776.44
155 84 21.4625 21.9375 22.125 23.5 22.3375 22.6875 21.375 24.75 133.9375 24.25 85.0 25.0 146.0 781.44
156 84 21.4625 22.0 22.125 23.5 22.4 22.6875 21.375 24.8125 134.3125 24.0 85.5 25.0 146.25 786.44
157 85 21.4625 22.0 22.125 23.5625 22.4 22.6875 21.375 24.8125 134.75 24.0 85.5 24.25 146.5 791.44
158 85 21.4625 22.0 22.1875 23.5625 22.4625 22.75 21.375 24.875 135.125 24.75 86.25 24.25 147.0 796.45
159 86 21.4625 22.0 22.125 23.5625 22.4625 22.75 21.375 24.875 135.5625 24.5 86.75 24.0 147.25 801.45
160 86 21.4625 22.0 22.125 23.625 22.4625 22.75 21.375 24.9375 136.0 24.5 86.75 24.75 147.75 806.46
161 87 21.4625 22.0 22.1875 23.625 22.4625 22.75 21.375 25.0 136.375 24.5 87.25 24.75 147.75 811.46
162 87 21.525 22.0 22.1875 23.625 22.4625 22.8125 21.375 25.0 136.75 24.5 86.5 24.5 147.5 816.46
163 88 21.525 22.0 22.1875 23.6875 22.4625 22.8125 21.4375 25.0625 137.125 24.5 87.0 24.5 149.0 821.47
164 88 21.525 22.0 22.1875 23.6875 22.525 22.8125 21.4375 25.0625 137.5 24.5 88.25 24.5 149.25 826.47
165 89 21.525 22.0 22.1875 23.6875 22.525 22.8125 21.4375 25.125 137.9375 24.25 88.0 24.5 149.75 831.47
166 89 21.525 22.0625 22.1875 23.75 22.525 22.875 21.4375 25.125 138.3125 24.5 88.0 24.5 150.0 836.47
167 90 21.525 22.0625 22.25 23.75 22.525 22.875 21.375 25.1875 138.6875 24.5 88.75 24.25 150.5 841.48
168 90 21.525 22.0625 22.25 23.75 22.525 22.875 21.4375 25.25 139.0625 24.25 88.75 24.75 150.25 846.48
169 91 21.525 22.0625 22.25 23.8125 22.5875 22.9375 21.4375 25.25 139.4375 24.75 88.75 24.25 150.75 851.48
170 91 21.525 22.0625 22.25 23.8125 22.5875 22.9375 21.4375 25.3125 139.8125 24.5 89.25 24.75 151.25 856.48
170 92 21.5875 22.0625 22.25 23.8125 22.5875 22.9375 21.4375 25.375 140.1875 24.5 89.5 24.25 151.5 861.49
171 92 21.5875 22.125 22.25 23.875 22.65 23.0 21.4375 25.375 140.5625 24.75 89.5 24.5 152.0 866.49
172 93 21.5875 22.0625 22.25 23.875 22.65 23.0 21.4375 25.4375 140.875 24.75 90.5 24.5 152.25 871.5
173 93 21.5875 22.125 22.25 23.875 22.65 23.0 21.4375 25.4375 141.25 24.25 90.25 24.75 152.25 876.5
174 94 21.5875 22.125 22.3125 23.9375 22.65 23.0 21.4375 25.5 141.625 24.5 90.5 24.75 152.75 881.5
175 94 21.5875 22.125 22.3125 23.9375 22.65 23.0625 21.4375 25.5625 142.0 24.25 90.0 25.0 153.25 886.5
176 95 21.5875 22.125 22.3125 23.9375 22.7125 23.0625 21.4375 25.5625 142.3125 24.5 90.75 25.25 152.75 891.51
177 95 21.5875 22.125 22.3125 24.0 22.7125 23.0625 21.5 25.625 142.625 24.5 91.25 25.25 154.0 896.51
178 96 21.5875 22.125 22.3125 24.0 22.7125 23.0625 21.5 25.625 142.9375 24.25 91.25 24.5 154.25 901.51
179 96 21.65 22.125 22.3125 24.0 22.7125 23.125 21.5 25.6875 143.3125 24.75 91.25 25.0 154.75 906.51
180 97 21.65 22.125 22.3125 24.0625 22.775 23.125 21.4375 25.75 143.625 24.75 92.25 24.25 154.75 911.52
181 97 21.65 22.125 22.375 24.0625 22.7125 23.125 21.5 25.75 144.0 24.75 92.5 24.5 155.25 916.52
182 98 21.65 22.1875 22.375 24.0625 22.775 23.1875 21.5 25.8125 144.3125 24.75 92.75 24.5 155.75 921.52
183 98 21.65 22.1875 22.375 24.125 22.775 23.1875 21.5 25.875 144.625 24.75 92.5 25.25 156.25 926.53
184 99 21.65 22.1875 22.375 24.125 22.775 23.1875 21.5 25.875 144.9375 24.75 92.0 24.75 156.25 931.53
185 100 21.65 22.1875 22.375 24.125 22.8375 23.1875 21.5 25.875 145.25 24.75 93.0 24.25 156.25 936.53
186 100 21.7125 22.1875 22.375 24.125 22.8375 23.25 21.5 25.9375 145.5625 25.0 93.25 24.25 156.75 941.54
186 101 21.65 22.1875 22.375 24.1875 22.8375 23.25 21.5 26.0 145.875 24.75 93.75 24.75 157.0 946.54
187 101 21.7125 22.1875 22.4375 24.1875 22.8375 23.3125 21.5 26.0 146.1875 24.5 93.75 24.75 157.5 951.54
188 102 21.7125 22.25 22.4375 24.25 22.9 23.3125 21.5 26.0625 146.5 24.75 94.0 25.0 158.0 956.54
189 102 21.7125 22.25 22.4375 24.25 22.9 23.3125 21.5 26.125 146.8125 25.0 94.0 24.75 158.0 961.55
190 103 21.7125 22.25 22.4375 24.25 22.9 23.3125 21.5 26.125 147.0625 24.75 94.5 25.0 157.5 966.55
191 103 21.7125 22.25 22.4375 24.3125 22.9 23.375 21.5 26.125 147.375 25.0 94.5 25.25 158.25 971.55
192 104 21.7125 22.25 22.4375 24.3125 22.9 23.375 21.5 26.1875 147.6875 25.0 94.75 24.75 159.0 976.55
193 104 21.7125 22.25 22.5 24.3125 22.9625 23.375 21.5625 26.25 147.9375 25.0 95.25 24.25 159.25 981.56
194 105 21.7125 22.25 22.5 24.3125 22.9625 23.375 21.5625 26.3125 148.25 25.0 95.5 24.5 159.5 986.56
195 105 21.775 22.25 22.5 24.375 23.025 23.4375 21.5 26.3125 148.5625 25.0 95.75 25.0 160.0 991.56
196 106 21.775 22.25 22.5 24.375 22.9625 23.4375 21.5 26.375 148.75 25.0 96.25 25.0 160.0 996.57
197 106 21.775 22.3125 22.5 24.375 23.025 23.4375 21.5625 26.375 149.0625 25.0 96.0 25.5 160.25 1001.57
198 107 21.775 22.3125 22.5 24.4375 23.025 23.5 21.5625 26.4375 149.3125 25.0 96.0 25.0 160.25 1006.57
199 107 21.775 22.3125 22.5 24.4375 23.025 23.5 21.5625 26.4375 149.5625 24.5 96.0 25.25 160.75 1011.58
199 108 21.775 22.3125 22.5625 24.4375 23.025 23.5 21.5625 26.5 149.8125 24.5 96.25 25.0 161.0 1016.58
200 108 21.775 22.3125 22.5625 24.4375 23.0875 23.5625 21.5625 26.5625 150.0625 24.5 96.5 25.25 161.0 1021.58
201 109 21.8375 22.3125 22.5625 24.5 23.0875 23.5625 21.5625 26.5625 150.3125 25.0 97.0 25.0 161.25 1026.58
